Product,City,Product Revenue,Normalization
Google Tee Mint Green,Pittsburgh,77.43,0.905804731
Google Youth FC Tee Charcoal,Breezy Point,77.43,0.905804731
Google Pullover Hoodie Grey,Seattle,74.35,0.869773754
Google Zip Hoodie Black,Elgin,74.35,0.869773754
Google Zip Hoodie Black,West New York,74.35,0.869773754
YouTube Icon Pullover Black,Seattle,74.35,0.869773754
Google Thermal Bottle White,Elgin,74.33,0.869539786
Noogler Android Figure 2019,San Francisco,74.32,0.869422802
Google Tee White,Houston,71.53,0.836784352
Google Sunglasses,New York,70.49,0.824618048
7in Dog Frisbee,Rockville,69.72,0.815610304
Android Ugly Sweater,San Bernardino,69.72,0.815610304
Google Tonal Tee Coral,Virginia Beach,68.17,0.797477832
Google Unisex Eco Tee Black,Hayward,68.17,0.797477832
Google Unisex Eco Tee Black,San Francisco,68.17,0.797477832
Google Women's Techie Fleece,Charlotte,68.17,0.797477832
Google Women's Techie Fleece,Hurst,68.17,0.797477832
Google Women's Tee F/C Black,Las Vegas,68.17,0.797477832
YouTube Icon Tee Charcoal,Hayward,68.17,0.797477832
YouTube Tee Black,Honolulu,68.17,0.797477832
Google Unisex Eco Tee Black,Houston,68.15,0.797243864
YouTube Tee Black,San Jose,68.15,0.797243864
Google Bike Tee Navy,Los Angeles,68.14,0.797126881
Google Black Tee,Atlanta,68.14,0.797126881
Google Tee White,Indianapolis,68.14,0.797126881
Google Tee White,Norwood,68.14,0.797126881
Google Women's Tee F/C Black,Breezy Point,68.14,0.797126881
Google Twill Cap,Riverside,68.11,0.796775929
Google Zip Hoodie Black,San Diego,65.07,0.761212887
Google Zip Hoodie Black,Noblesville,65.07,0.761212887
Google Pullover Hoodie Grey,Irvine,65.05,0.76097892
Google Pullover Hoodie Grey,Oakland,65.05,0.76097892
Google Pullover Hoodie Grey,Minneapolis,65.05,0.76097892
Google Pullover Hoodie Grey,San Antonio,65.05,0.76097892
Google Zip Hoodie Black,Burlingame,65.05,0.76097892
Google Zip Hoodie Black,Palo Alto,65.05,0.76097892
Google Zip Hoodie Black,Sunnyvale,65.05,0.76097892
Google Zip Hoodie Black,Fort Lauderdale,65.05,0.76097892
Google Zip Hoodie Black,Kahului,65.05,0.76097892
Google Metallic Notebook Set,San Diego,64.96,0.759926066
Google Adventure Bottle Black,Campbell,61.97,0.724947942
Google Adventure Bottle Black,The Woodlands,61.97,0.724947942
Google Campus Bike,Barcelona,61.97,0.724947942
Google Campus Bike,Palmdale,61.97,0.724947942
Google Campus Bike,San Leandro,61.97,0.724947942
Google Campus Bike,New York,61.97,0.724947942
Google Campus Bike Mini Backpack,Tracy,61.97,0.724947942
Google Campus Bike Mini Backpack,Rensselaer,61.97,0.724947942
Google Inverted Umbrella,San Leandro,61.97,0.724947942
Google Adventure Bottle Black,Hallandale Beach,61.95,0.724713975
Google Adventure Bottle Black,Camp Hill,61.95,0.724713975
Google Adventure Bottle Black,Blacksburg,61.95,0.724713975
Google Campus Bike,Palo Alto,61.95,0.724713975
Google Campus Bike,Santa Clara,61.95,0.724713975
Google Campus Bike,Chicago,61.95,0.724713975
Google Campus Bike,Houston,61.95,0.724713975
Google Campus Bike,South Brunswick Township,61.95,0.724713975
Google Dino Game Tee,San Antonio,61.95,0.724713975
Google Dino Game Tee,Seattle,61.95,0.724713975
Google Men's Outpost Vest,Palo Alto,61.95,0.724713975
Google Men's Outpost Vest,San Jose,61.95,0.724713975
Google Men's Outpost Vest,Woodbridge Township,61.95,0.724713975
Google Utility Bag Grey,Oklahoma City,61.91,0.72424604
